month,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
Jan,"11,372","21,594","20,574","22,820","40,521","51,627","74,335","105,508","88,957","111,536","152,896","135,197","163,465","210,599"
Feb,"11,663","11,453","19,140","20,844","39,260","47,922","71,092","82,381","83,525","107,367","140,168","122,764","149,670","177,578"
Mar,"14,275","24,532","20,724","25,652","46,914","55,626","89,234","116,696","106,872","122,461","167,715","152,997","183,644",NA
Apr,"16,988","23,899","19,955","26,457","44,024","58,961","89,244","80,087","118,105","117,744","160,454","149,540","200,587",NA
May,"19,087","24,530","21,224","32,396","45,021","59,113","92,365","92,007","131,895","130,493","165,049","170,825","232,210",NA
Jun,"18,675","27,041","24,069","30,284","51,624","61,661","92,065","94,035","116,854","122,996","165,053","189,958","253,181",NA
Jul,"30,200","26,519","24,800","34,600","53,917","75,883","95,308","94,164","124,635","147,615","203,899","232,512","299,040",NA
Aug,"25,665","17,481","26,825","38,036","60,041","81,415","110,279","106,624","135,821","169,613","212,009","247,455","317,163",NA
Sep,"27,918","19,563","26,039","35,669","60,020","78,770","105,613","99,323","157,846","162,477","286,612","207,708","254,458",NA
Oct,"23,389","23,562","26,386","35,385","56,515","83,494","104,732","93,784","143,184","159,102","146,134","193,933","238,507",NA
Nov,"20,902","22,406","23,331","34,473","53,578","76,855","95,427","85,199","136,216","128,230","127,578","162,458","191,924",NA
Dec,"21,821","23,908","27,758","40,262","58,672","82,968","109,029","91,502","115,207","145,175","132,163","171,501","205,233",NA
