year,month,trips
2011,Jan,198217
2011,Feb,157592
2011,Mar,209947
2011,Apr,203286
2011,May,228332
2011,Jun,230811
2011,Jul,318584
2011,Aug,421237
2011,Sep,327534
2011,Oct,287347
2011,Nov,249167
2011,Dec,283473
2012,Jan,283881
2012,Feb,202847
2012,Mar,283470
2012,Apr,326520
2012,May,342103
2012,Jun,382707
2012,Jul,513101
2012,Aug,665807
2012,Sep,497824
2012,Oct,457100
2012,Nov,402114
2012,Dec,383872
2013,Jan,335250
2013,Feb,319404
2013,Mar,387309
2013,Apr,390274
2013,May,430945
2013,Jun,487170
2013,Jul,598237
2013,Aug,842379
2013,Sep,574139
2013,Oct,521099
2013,Nov,448354
2013,Dec,400338
2014,Jan,376869
2014,Feb,323813
2014,Mar,429720
2014,Apr,410865
2014,May,425045
2014,Jun,454058
2014,Jul,637614
2014,Aug,858622
2014,Sep,579616
2014,Oct,510349
2014,Nov,438883
2014,Dec,443255
2015,Jan,373019
2015,Feb,324895
2015,Mar,424121
2015,Apr,419176
2015,May,484155
2015,Jun,495519
2015,Jul,708016
2015,Aug,953934
2015,Sep,629813
2015,Oct,549298
2015,Nov,475752
2015,Dec,467937
2016,Jan,384255
2016,Feb,391549
2016,Mar,479051
2016,Apr,473851
2016,May,561265
2016,Jun,515685
2016,Jul,722370
2016,Aug,941562
2016,Sep,706634
2016,Oct,572497
2016,Nov,493459
2016,Dec,477797
2017,Jan,453152
2017,Feb,396691
2017,Mar,528254
2017,Apr,530465
2017,May,587153
2017,Jun,639407
2017,Jul,940584
2017,Aug,1179612
2017,Sep,849727
2017,Oct,659908
2017,Nov,562257
2017,Dec,575299
2018,Jan,529165
2018,Feb,471379
2018,Mar,581838
2018,Apr,619108
2018,May,633086
2018,Jun,727385
2018,Jul,1039027
2018,Aug,1294926
2018,Sep,892463
2018,Oct,719140
2018,Nov,598312
2018,Dec,573715
2019,Jan,528678
2019,Feb,469545
2019,Mar,619325
2019,Apr,647770
2019,May,723160
2019,Jun,873966
2019,Jul,1099474
2019,Aug,1358598
2019,Sep,917044
2019,Oct,782670
2019,Nov,670122
2019,Dec,667612
2020,Jan,633201
2020,Feb,466409
2020,Mar,233479
2020,Apr,35497
2020,May,38998
2020,Jun,39624
2020,Jul,48535
2020,Aug,48355
